"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"141",="2404","漢唐","市","03/08","233.5","+0.5","+0.21","10","19.1","19.1","445","38.5","23.1","有","","有","有","","","其他電子業","陳朝水","陳柏辰"
"142",="6269","台郡","市","03/08","122.5","-1.5","-1.21","10","36.1","36.1","443","23.2","17.5","有","","有","有","","","電子零組件業","鄭明智","鄭明智"
"143",="1210","大成","市","03/08","53","+2","+3.92","10","82.7","82.7","438","60.2","42.8","有","","有","","","","食品工業","韓家宇","莊坤炎"
"144",="2915","潤泰全","市","03/08","77.3","+1.4","+1.84","10","56.5","56.5","437","45.1","43.6","有","有","有","","","","貿易百貨業","王綺帆","徐志漳"
"145",="2809","京城銀","市","03/08","38.8","0","0","10","112","112","435","69.7","37.6","","","有","","","","銀行業","戴誠志","張日政"
"146",="1717","長興","市","03/08","34.9","-0.05","-0.14","10","124","124","433","56.3","26.9","","","有","有","","","化學工業","高國倫","毛惠寬"
"147",="2201","裕隆","市","03/08","42.1","+0.6","+1.45","10","100","100","421","67.5","44.7","有","","有","有","","","汽車工業","嚴陳莉蓮","姚振祥"
"148",="3189","景碩","市","03/08","92.2","+1.1","+1.21","10","45.1","45.1","416","20.5","16.4","有","","有","","","","半導體業","郭明棟","陳河旭"
"149",="5522","遠雄","市","03/08","52.9","-0.2","-0.38","10","78.2","78.2","413","42.6","21.2","","","","有","","","建材營造業","趙文嘉","湯佳峰"
"150",="6592","和潤企業","市","03/08","80.2","+0.1","+0.12","10","51.5","51.5","413","21.8","1.2","","","有","有","","","其他業","田天明","林彥良"
"151",="2015","豐興","市","03/08","70.1","-0.1","-0.14","10","58.2","58.2","408","52.2","28.8","","","","","","","鋼鐵工業","林明儒","林大鈞"
"152",="2889","國票金","市","03/08","13.9","0","0","10","290","290","403","19","19","","","有","","","","金控業","魏啟林","丁予嘉"
"153",="6547","高端疫苗","櫃","03/08","188","-15.5","-7.62","10","21.1","21.2","398","8.4","2.9","","","","","","","生技醫療業","張世忠","陳燦堅"
"154",="9917","中保科","市","03/08","87.3","-0.3","-0.34","10","45.1","45.1","394","43.3","27.2","","","","","","","其他業","林孝信","小野寺博史"
"155",="2006","東和鋼鐵","市","03/08","38.7","+0.5","+1.31","10","102","100","389","58.8","32.7","","","有","有","","","鋼鐵工業","侯傑騰","侯傑騰"
"156",="6456","GIS-KY","市","03/08","114.5","-2","-1.72","10","33.9","33.9","389","10.2","5.7","","","有","","","","光電業","周賢穎","周賢穎"
"157",="2441","超豐","市","03/08","66.4","-1","-1.48","10","56.9","56.9","378","38","20.4","","","","","","","半導體業","蔡篤恭","甯鑑超"
"158",="6116","彩晶","市","03/08","12.2","-0.05","-0.41","10","303","303","369","22.7","19.6","有","","有","","","","光電業","焦佑麒","焦佑麒"
"159",="1314","中石化","市","03/08","11.2","+0.3","+2.75","10","328","328","368","51.7","29.7","有","","有","","","","塑膠工業","陳瑞隆","余建松"
"160",="3682","亞太電","市","03/08","9.63","-0.09","-0.93","10","382","382","368","20.8","7.6","","","","","有","","通信網路業","呂芳銘","黃南仁"
"161",="9941","裕融","市","03/08","110.5","+3.5","+3.27","10","43.2","33.2","367","30.9","21.2","","","","有","","有","其他業","嚴陳莉蓮","許國興"
"162",="3653","健策","市","03/08","299.5","-15","-4.77","10","12.2","12.2","366","33.9","11.3","有","","有","","","","電子零組件業","趙宗信","趙永昌"
"163",="3152","璟德","櫃","03/08","530","-12","-2.21","10","6.9","6.9","366","22.9","13","有","","有","","","","通信網路業","雙德投資股份有限公司-代表人郭建文","郭建文"
"164",="3706","神達","市","03/08","30.3","0","0","10","121","121","366","7.5","7.5","有","","有","","","","電腦及週邊設備業","苗豐強","何繼武"
"165",="2845","遠東銀","市","03/08","10.6","-0.05","-0.47","10","345","345","365","29.2","22.3","","","","","","","銀行業","侯金英","周添財"
"166",="3576","聯合再生","市","03/08","13.7","-0.1","-0.72","10","267","267","365","15.5","12.2","","","","","有","","光電業","洪傳獻","潘文輝(執行長)"
"167",="3665","貿聯-KY","市","03/08","274","-6","-2.14","10","13.3","13.1","358","20.8","9.9","","","有","有","","","其他電子業","梁華哲","鄧劍華"
"168",="6732","昇佳電子","櫃","03/08","735","0","0","10","4.89","4.89","360","11.3","0.8","","","有","","","","半導體業","李盛樞","楊祝原"
"169",="3005","神基","市","03/08","60.6","+1.7","+2.89","10","58.9","58.4","354","31.4","19","","","有","","","","電腦及週邊設備業","黃明漢","黃明漢"
"170",="2101","南港","市","03/08","42.75","+0.3","+0.71","10","83.4","83.4","357","62","57.4","","","有","有","","","橡膠工業","張昌平","詹彩雲"
"171",="1904","正隆","市","03/08","32.1","+0.3","+0.94","10","111","111","356","62.1","49.5","","","有","","","","造紙工業","鄭舒云","蔡東和"
"172",="6271","同欣電","市","03/08","198","-3","-1.49","10","17.9","17.9","354","46.6","13.3","有","","有","","","","半導體業","陳泰銘","呂紹萍"
"173",="3036","文曄","市","03/08","44.7","+0.3","+0.68","10","92.6","79.1","354","27.2","20.4","有","","","有","","有","電子通路業","鄭文宗","鄭文宗"
"174",="4968","立積","市","03/08","551","-16","-2.82","10","6.32","6.21","342","17.2","5.3","","","有","","","","半導體業","馬代駿","王是琦"
"175",="2108","南帝","市","03/08","68.6","-1.4","-2","10","49.2","49.2","338","42.2","28.4","","","有","","","","橡膠工業","楊東源","許建祝"
"176",="2838","聯邦銀","市","03/08","10.75","0","0","10","329","309","333","29.2","22.7","","","","","","有","銀行業","李憲章","林鴻聯"
"177",="2106","建大","市","03/08","36.55","+0.85","+2.38","10","90.9","90.9","332","58.9","30.2","","","","","","","橡膠工業","楊啟仁","陳昭榮"
